PROD_CODE,PRODUCT_DIV,PRODUCT_GROUP,PRODUCT_LINE
PRD0904422,DEP00003,G00002,D00001
PRD0904307,DEP00003,G00002,D00001
PRD0904126,DEP00003,G00002,D00001
PRD0900750,DEP00003,G00002,D00001
PRD0903452,DEP00003,G00002,D00001
PRD0904192,DEP00003,G00002,D00001
PRD0901765,DEP00003,G00002,D00001
PRD0902892,DEP00003,G00002,D00001
PRD0900379,DEP00003,G00002,D00001
PRD0904731,DEP00003,G00002,D00001
PRD0904136,DEP00003,G00002,D00001
PRD0901134,DEP00003,G00002,D00001
PRD0903761,DEP00003,G00002,D00001
PRD0903145,DEP00003,G00002,D00001
PRD0901088,DEP00003,G00002,D00001
PRD0904969,DEP00003,G00002,D00001
PRD0904182,DEP00003,G00002,D00001
PRD0904572,DEP00003,G00002,D00001
PRD0901311,DEP00004,G00003,D00001
PRD0904934,DEP00004,G00003,D00001
PRD0902968,DEP00004,G00003,D00001
PRD0904044,DEP00004,G00003,D00001
PRD0903477,DEP00004,G00003,D00001
PRD0902295,DEP00004,G00003,D00001
PRD0904915,DEP00004,G00003,D00001
PRD0904881,DEP00004,G00003,D00001
PRD0902685,DEP00004,G00003,D00001
PRD0901673,DEP00004,G00003,D00001
PRD0901957,DEP00004,G00003,D00001
PRD0901939,DEP00004,G00003,D00001
PRD0903813,DEP00004,G00003,D00001
PRD0902848,DEP00004,G00003,D00001
PRD0901395,DEP00004,G00003,D00001
PRD0903027,DEP00004,G00003,D00001
PRD0900588,DEP00004,G00003,D00001
PRD0900673,DEP00004,G00003,D00001
PRD0901688,DEP00004,G00003,D00001
PRD0901505,DEP00004,G00003,D00001
PRD0901176,DEP00004,G00003,D00001
PRD0902556,DEP00004,G00003,D00001
PRD0900340,DEP00004,G00003,D00001
PRD0903570,DEP00004,G00003,D00001
PRD0904755,DEP00004,G00003,D00001
PRD0900199,DEP00004,G00003,D00001
PRD0900015,DEP00004,G00003,D00001
PRD0903091,DEP00004,G00003,D00001
PRD0901661,DEP00004,G00003,D00001
PRD0902041,DEP00004,G00003,D00001
PRD0902335,DEP00004,G00003,D00001
PRD0900498,DEP00004,G00003,D00001
PRD0904679,DEP00005,G00003,D00001
PRD0900204,DEP00005,G00003,D00001
PRD0900058,DEP00005,G00003,D00001
PRD0904120,DEP00005,G00003,D00001
PRD0903951,DEP00005,G00003,D00001
PRD0903821,DEP00005,G00003,D00001
PRD0904004,DEP00005,G00003,D00001
PRD0904048,DEP00005,G00003,D00001
PRD0902735,DEP00005,G00003,D00001
PRD0901799,DEP00005,G00003,D00001
PRD0904561,DEP00005,G00003,D00001
PRD0901954,DEP00005,G00003,D00001
PRD0902488,DEP00005,G00003,D00001
PRD0902915,DEP00005,G00003,D00001
PRD0902087,DEP00005,G00003,D00001
PRD0901871,DEP00005,G00003,D00001
PRD0902008,DEP00005,G00003,D00001
PRD0903841,DEP00005,G00003,D00001
PRD0901486,DEP00005,G00003,D00001
PRD0900093,DEP00005,G00003,D00001
PRD0901798,DEP00005,G00003,D00001
PRD0903859,DEP00005,G00003,D00001
PRD0904657,DEP00005,G00003,D00001
PRD0900004,DEP00005,G00003,D00001
PRD0904791,DEP00005,G00003,D00001
PRD0900603,DEP00005,G00003,D00001
PRD0903277,DEP00005,G00003,D00001
PRD0903325,DEP00005,G00003,D00001
PRD0904320,DEP00005,G00003,D00001
PRD0902850,DEP00005,G00003,D00001
PRD0903321,DEP00005,G00003,D00001
PRD0900933,DEP00005,G00003,D00001
PRD0901265,DEP00008,G00004,D00002
PRD0903395,DEP00008,G00004,D00002
PRD0903052,DEP00008,G00004,D00002
PRD0901520,DEP00008,G00004,D00002
PRD0903295,DEP00008,G00004,D00002
PRD0900703,DEP00008,G00004,D00002
PRD0900440,DEP00008,G00004,D00002
PRD0900875,DEP00008,G00004,D00002
PRD0904567,DEP00008,G00004,D00002
PRD0900239,DEP00008,G00004,D00002
PRD0901294,DEP00008,G00004,D00002
PRD0902029,DEP00008,G00004,D00002
PRD0902929,DEP00008,G00004,D00002
PRD0903497,DEP00008,G00004,D00002
PRD0900691,DEP00008,G00004,D00002
PRD0903411,DEP00008,G00004,D00002
PRD0902423,DEP00008,G00004,D00002
PRD0903587,DEP00008,G00004,D00002
PRD0900867,DEP00008,G00004,D00002
PRD0903848,DEP00008,G00004,D00002
PRD0901948,DEP00008,G00004,D00002
PRD0900234,DEP00008,G00004,D00002
PRD0904299,DEP00008,G00004,D00002
PRD0902882,DEP00008,G00004,D00002
PRD0904762,DEP00008,G00004,D00002
PRD0904430,DEP00008,G00004,D00002
PRD0904415,DEP00008,G00004,D00002
PRD0903867,DEP00008,G00004,D00002
PRD0900407,DEP00008,G00004,D00002
PRD0901387,DEP00008,G00004,D00002
PRD0904723,DEP00008,G00004,D00002
PRD0901776,DEP00008,G00004,D00002
PRD0904378,DEP00008,G00004,D00002
PRD0904439,DEP00008,G00004,D00002
PRD0900531,DEP00008,G00004,D00002
PRD0902944,DEP00008,G00004,D00002
PRD0904801,DEP00008,G00004,D00002
PRD0902450,DEP00008,G00004,D00002
PRD0902300,DEP00008,G00004,D00002
PRD0904445,DEP00008,G00004,D00002
PRD0904994,DEP00008,G00004,D00002
PRD0900494,DEP00008,G00004,D00002
PRD0900159,DEP00008,G00004,D00002
PRD0903619,DEP00008,G00004,D00002
PRD0901309,DEP00008,G00004,D00002
PRD0901740,DEP00008,G00004,D00002
PRD0903314,DEP00008,G00004,D00002
PRD0904780,DEP00008,G00004,D00002
PRD0900863,DEP00008,G00004,D00002
PRD0904022,DEP00008,G00004,D00002
PRD0904628,DEP00008,G00004,D00002
PRD0904446,DEP00008,G00004,D00002
PRD0903644,DEP00008,G00004,D00002
PRD0904918,DEP00008,G00004,D00002
PRD0901447,DEP00008,G00004,D00002
PRD0903415,DEP00008,G00004,D00002
PRD0900182,DEP00008,G00004,D00002
PRD0902342,DEP00008,G00004,D00002
PRD0903910,DEP00008,G00004,D00002
PRD0902076,DEP00008,G00004,D00002
PRD0902230,DEP00008,G00004,D00002
PRD0904891,DEP00008,G00004,D00002
PRD0904857,DEP00009,G00004,D00002
PRD0900797,DEP00009,G00004,D00002
PRD0901775,DEP00009,G00004,D00002
PRD0904947,DEP00009,G00004,D00002
PRD0900497,DEP00009,G00004,D00002
PRD0900385,DEP00009,G00004,D00002
PRD0903217,DEP00009,G00004,D00002
PRD0900769,DEP00009,G00004,D00002
PRD0903192,DEP00009,G00004,D00002
PRD0901258,DEP00009,G00004,D00002
PRD0903357,DEP00009,G00004,D00002
PRD0901549,DEP00009,G00004,D00002
PRD0901067,DEP00009,G00004,D00002
PRD0903426,DEP00009,G00004,D00002
PRD0903571,DEP00009,G00004,D00002
PRD0902003,DEP00009,G00004,D00002
PRD0901355,DEP00009,G00004,D00002
PRD0903186,DEP00009,G00004,D00002
PRD0903632,DEP00009,G00004,D00002
PRD0902305,DEP00009,G00004,D00002
PRD0903582,DEP00009,G00004,D00002
PRD0900925,DEP00009,G00004,D00002
PRD0902353,DEP00009,G00004,D00002
PRD0904716,DEP00009,G00004,D00002
PRD0904298,DEP00009,G00004,D00002
PRD0900174,DEP00009,G00004,D00002
PRD0904188,DEP00009,G00004,D00002
PRD0901277,DEP00009,G00004,D00002
PRD0904976,DEP00010,G00004,D00002
PRD0902728,DEP00010,G00004,D00002
PRD0903297,DEP00010,G00004,D00002
PRD0900302,DEP00010,G00004,D00002
PRD0902898,DEP00010,G00004,D00002
PRD0901084,DEP00010,G00004,D00002
PRD0900415,DEP00010,G00004,D00002
PRD0900810,DEP00010,G00004,D00002
PRD0901627,DEP00010,G00004,D00002
PRD0903086,DEP00010,G00004,D00002
PRD0901422,DEP00010,G00004,D00002
PRD0900450,DEP00010,G00004,D00002
PRD0904056,DEP00010,G00004,D00002
PRD0903215,DEP00010,G00004,D00002
PRD0903667,DEP00010,G00004,D00002
PRD0902005,DEP00010,G00004,D00002
PRD0900330,DEP00010,G00004,D00002
PRD0903567,DEP00010,G00004,D00002
PRD0903074,DEP00011,G00004,D00002
PRD0903374,DEP00011,G00004,D00002
PRD0900830,DEP00011,G00004,D00002
PRD0900173,DEP00011,G00004,D00002
PRD0904281,DEP00011,G00004,D00002
PRD0900563,DEP00011,G00004,D00002
PRD0903620,DEP00011,G00004,D00002
PRD0900008,DEP00011,G00004,D00002
PRD0900684,DEP00011,G00004,D00002
PRD0901870,DEP00011,G00004,D00002
PRD0902540,DEP00011,G00004,D00002
PRD0904250,DEP00011,G00004,D00002
PRD0902601,DEP00011,G00004,D00002
PRD0902700,DEP00011,G00004,D00002
PRD0904887,DEP00011,G00004,D00002
PRD0902640,DEP00011,G00004,D00002
PRD0901278,DEP00011,G00004,D00002
PRD0903720,DEP00011,G00004,D00002
PRD0902808,DEP00011,G00004,D00002
PRD0901932,DEP00011,G00004,D00002
PRD0903246,DEP00011,G00004,D00002
PRD0900679,DEP00011,G00004,D00002
PRD0902585,DEP00011,G00004,D00002
PRD0900212,DEP00011,G00004,D00002
PRD0901943,DEP00011,G00004,D00002
PRD0901316,DEP00011,G00004,D00002
PRD0901878,DEP00011,G00004,D00002
PRD0901383,DEP00011,G00004,D00002
PRD0900375,DEP00011,G00004,D00002
PRD0901279,DEP00011,G00004,D00002
PRD0903696,DEP00011,G00004,D00002
PRD0903876,DEP00011,G00004,D00002
PRD0903023,DEP00011,G00004,D00002
PRD0903198,DEP00011,G00004,D00002
PRD0901212,DEP00011,G00004,D00002
PRD0903499,DEP00011,G00004,D00002
PRD0901639,DEP00011,G00004,D00002
PRD0900969,DEP00011,G00004,D00002
PRD0904836,DEP00011,G00004,D00002
PRD0902913,DEP00011,G00004,D00002
PRD0904878,DEP00011,G00004,D00002
PRD0902160,DEP00011,G00004,D00002
PRD0904174,DEP00011,G00004,D00002
PRD0902813,DEP00011,G00004,D00002
PRD0903557,DEP00011,G00004,D00002
PRD0900065,DEP00011,G00004,D00002
PRD0903187,DEP00011,G00004,D00002
PRD0903176,DEP00011,G00004,D00002
PRD0900066,DEP00011,G00004,D00002
PRD0903513,DEP00011,G00004,D00002
PRD0900511,DEP00011,G00004,D00002
PRD0904380,DEP00011,G00004,D00002
PRD0903113,DEP00011,G00004,D00002
PRD0904689,DEP00012,G00004,D00002
PRD0904946,DEP00012,G00004,D00002
PRD0901304,DEP00012,G00004,D00002
PRD0903757,DEP00012,G00004,D00002
PRD0901003,DEP00012,G00004,D00002
PRD0900362,DEP00012,G00004,D00002
PRD0901171,DEP00012,G00004,D00002
PRD0902109,DEP00012,G00004,D00002
PRD0904967,DEP00012,G00004,D00002
PRD0900248,DEP00012,G00004,D00002
PRD0903200,DEP00012,G00004,D00002
PRD0904066,DEP00012,G00004,D00002
PRD0904436,DEP00012,G00004,D00002
PRD0900520,DEP00012,G00004,D00002
PRD0902181,DEP00012,G00004,D00002
PRD0901200,DEP00012,G00004,D00002
PRD0900456,DEP00012,G00004,D00002
PRD0902509,DEP00012,G00004,D00002
PRD0903506,DEP00012,G00004,D00002
PRD0900580,DEP00012,G00004,D00002
PRD0902092,DEP00012,G00004,D00002
PRD0903552,DEP00012,G00004,D00002
PRD0900672,DEP00012,G00004,D00002
PRD0904570,DEP00012,G00004,D00002
PRD0900298,DEP00012,G00004,D00002
PRD0901591,DEP00012,G00004,D00002
PRD0903069,DEP00012,G00004,D00002
PRD0903735,DEP00012,G00004,D00002
PRD0903672,DEP00012,G00004,D00002
PRD0902830,DEP00012,G00004,D00002
PRD0900544,DEP00012,G00004,D00002
PRD0902416,DEP00012,G00004,D00002
PRD0901066,DEP00012,G00004,D00002
PRD0904073,DEP00012,G00004,D00002
PRD0900299,DEP00012,G00004,D00002
PRD0900160,DEP00012,G00004,D00002
PRD0900653,DEP00012,G00004,D00002
PRD0901500,DEP00012,G00004,D00002
PRD0904533,DEP00012,G00004,D00002
PRD0903991,DEP00012,G00004,D00002
PRD0902708,DEP00012,G00004,D00002
PRD0903323,DEP00012,G00004,D00002
PRD0902118,DEP00012,G00004,D00002
PRD0902725,DEP00012,G00004,D00002
PRD0903903,DEP00012,G00004,D00002
PRD0904655,DEP00012,G00004,D00002
PRD0904659,DEP00012,G00004,D00002
PRD0900723,DEP00012,G00004,D00002
PRD0904020,DEP00012,G00004,D00002
PRD0901901,DEP00013,G00005,D00002
PRD0901955,DEP00013,G00005,D00002
PRD0900388,DEP00013,G00005,D00002
PRD0900748,DEP00013,G00005,D00002
PRD0900179,DEP00013,G00005,D00002
PRD0903126,DEP00013,G00005,D00002
PRD0902542,DEP00013,G00005,D00002
PRD0901202,DEP00013,G00005,D00002
PRD0902369,DEP00013,G00005,D00002
PRD0902217,DEP00013,G00005,D00002
PRD0903651,DEP00013,G00005,D00002
PRD0901238,DEP00013,G00005,D00002
PRD0904199,DEP00013,G00005,D00002
PRD0901993,DEP00013,G00005,D00002
PRD0901484,DEP00013,G00005,D00002
PRD0904877,DEP00013,G00005,D00002
PRD0903722,DEP00013,G00005,D00002
PRD0904664,DEP00013,G00005,D00002
PRD0902678,DEP00013,G00005,D00002
PRD0900267,DEP00013,G00005,D00002
PRD0903911,DEP00013,G00005,D00002
PRD0902743,DEP00013,G00005,D00002
PRD0904418,DEP00013,G00005,D00002
PRD0900652,DEP00013,G00005,D00002
PRD0901727,DEP00016,G00006,D00002
PRD0900664,DEP00016,G00006,D00002
PRD0901107,DEP00016,G00006,D00002
PRD0903107,DEP00016,G00006,D00002
PRD0904652,DEP00016,G00006,D00002
PRD0904701,DEP00016,G00006,D00002
PRD0902503,DEP00016,G00006,D00002
PRD0901248,DEP00016,G00006,D00002
PRD0902004,DEP00016,G00006,D00002
PRD0900109,DEP00016,G00006,D00002
PRD0901619,DEP00016,G00006,D00002
PRD0902771,DEP00016,G00006,D00002
PRD0903621,DEP00016,G00006,D00002
PRD0901068,DEP00016,G00006,D00002
PRD0900306,DEP00016,G00006,D00002
PRD0900314,DEP00016,G00006,D00002
PRD0900324,DEP00016,G00006,D00002
PRD0904362,DEP00016,G00006,D00002
PRD0902667,DEP00016,G00006,D00002
PRD0900121,DEP00019,G00007,D00002
PRD0904370,DEP00019,G00007,D00002
PRD0901400,DEP00019,G00007,D00002
PRD0901489,DEP00019,G00007,D00002
PRD0903593,DEP00019,G00007,D00002
PRD0902103,DEP00019,G00007,D00002
PRD0903256,DEP00019,G00007,D00002
PRD0904358,DEP00019,G00007,D00002
PRD0903763,DEP00019,G00007,D00002
PRD0902359,DEP00019,G00007,D00002
PRD0900236,DEP00019,G00007,D00002
PRD0902322,DEP00019,G00007,D00002
PRD0903975,DEP00019,G00007,D00002
PRD0903040,DEP00019,G00007,D00002
PRD0901887,DEP00019,G00007,D00002
PRD0903269,DEP00019,G00007,D00002
PRD0902689,DEP00019,G00007,D00002
PRD0900082,DEP00019,G00007,D00002
PRD0904733,DEP00019,G00007,D00002
PRD0903541,DEP00019,G00007,D00002
PRD0901612,DEP00019,G00007,D00002
PRD0901535,DEP00019,G00007,D00002
PRD0904456,DEP00019,G00007,D00002
PRD0901048,DEP00019,G00007,D00002
PRD0904035,DEP00019,G00007,D00002
PRD0903463,DEP00019,G00007,D00002
PRD0901810,DEP00019,G00007,D00002
PRD0903057,DEP00019,G00007,D00002
PRD0902988,DEP00019,G00007,D00002
PRD0904698,DEP00019,G00007,D00002
PRD0901257,DEP00019,G00007,D00002
PRD0902930,DEP00019,G00007,D00002
PRD0903378,DEP00019,G00007,D00002
PRD0904519,DEP00019,G00007,D00002
PRD0901350,DEP00019,G00007,D00002
PRD0904245,DEP00019,G00007,D00002
PRD0900485,DEP00019,G00007,D00002
PRD0904317,DEP00019,G00007,D00002
PRD0904785,DEP00019,G00007,D00002
PRD0902107,DEP00019,G00007,D00002
PRD0902268,DEP00019,G00007,D00002
PRD0901026,DEP00019,G00007,D00002
PRD0903734,DEP00019,G00007,D00002
PRD0904203,DEP00019,G00007,D00002
PRD0901795,DEP00019,G00007,D00002
PRD0900457,DEP00019,G00007,D00002
PRD0903302,DEP00019,G00007,D00002
PRD0901368,DEP00019,G00007,D00002
PRD0902686,DEP00019,G00007,D00002
PRD0904558,DEP00019,G00007,D00002
PRD0900129,DEP00019,G00007,D00002
PRD0902574,DEP00019,G00007,D00002
PRD0903292,DEP00019,G00007,D00002
PRD0901123,DEP00019,G00007,D00002
PRD0901777,DEP00019,G00007,D00002
PRD0904098,DEP00019,G00007,D00002
PRD0903778,DEP00019,G00007,D00002
PRD0903171,DEP00019,G00007,D00002
PRD0901244,DEP00019,G00007,D00002
PRD0904129,DEP00019,G00007,D00002
PRD0900856,DEP00019,G00007,D00002
PRD0904038,DEP00019,G00007,D00002
PRD0901860,DEP00019,G00007,D00002
PRD0902439,DEP00019,G00007,D00002
PRD0902379,DEP00019,G00007,D00002
PRD0902659,DEP00019,G00007,D00002
PRD0903999,DEP00019,G00007,D00002
PRD0902174,DEP00019,G00007,D00002
PRD0904500,DEP00019,G00007,D00002
PRD0904774,DEP00019,G00007,D00002
PRD0901968,DEP00019,G00007,D00002
PRD0902279,DEP00019,G00007,D00002
PRD0904754,DEP00019,G00007,D00002
PRD0901117,DEP00019,G00007,D00002
